x|y|output1_output2_output_n 
11|55|1_2_3_4_68_69_6_70_7_9_10_74_11_12_13_14_16_20_27_29_31_32_33_35_99_38_44_46_48_50_55_59_60_61
11|18|33_3_4_5_6_7_9_11_12_13_14_16_18_19_20_29_61_31
11|22|33_99_3_4_6_7_9_11_12_13_14_16_20_22_23_29_61_31
11|76|33_3_68_4_6_7_9_11_76_12_13_14_16_20_29_61_31
6|13|16_68_4_5_6_70_7_28_13_29_14_31
6|16|68_4_5_6_38_7_76_13_14_16_17_28_29
6|11|33_3_68_4_5_6_7_9_11_12_13_14_16_20_28_29_61_31
6|6|16_68_4_5_6_7_28_29_13_14
6|12|32_1_2_3_68_4_5_6_7_12_13_14_16_50_20_60_28_29
6|19|16_19_68_20_4_5_6_7_28_29_13_14
6|29|3_68_4_5_6_38_7_44_13_14_16_28_29_30_62
6|38|1_2_3_68_4_5_6_38_70_7_74_13_46_14_16_50_28_29_61
6|48|1_2_99_68_4_5_6_38_7_13_46_14_48_16_50_58_28_29
6|74|66_68_4_5_6_38_7_74_13_14_16_17_28_29
6|26|2_68_4_69_5_6_7_10_13_14_16_50_26_27_28_61_29
6|40|3_68_4_5_6_38_7_40_13_14_16_17_20_28_29
6|39|35_3_68_4_5_6_38_39_7_10_45_13_14_16_19_20_60_28_29_61
6|71|65_66_3_68_4_5_69_6_70_71_7_10_76_13_14_16_17_27_28_29_31_38_50_60_61
6|68|3_68_4_5_69_6_38_7_10_13_45_14_16_50_20_27_28_60_29_61_31
6|31|32_1_68_4_5_6_38_7_40_44_13_45_14_48_16_50_20_59_60_28_29_31
6|28|34_3_68_4_5_6_7_76_13_14_16_28_29
6|51|1_68_4_5_6_7_10_13_14_16_28_29_34_99_38_40_44_45_48_49_50_51_59_60_61
6|9|35_68_4_5_6_7_9_10_13_14_16_28_29
6|20|1_99_68_4_5_6_38_7_44_13_14_16_50_20_21_22_59_28_29
6|65|65_1_2_3_68_4_5_69_6_7_10_13_14_16_20_28_29_31_35_38_44_50_58_59_60_61
6|70|3_68_4_5_6_70_38_7_39_10_13_14_16_28_29_61_62
6|66|65_66_2_3_68_4_69_5_6_70_7_10_13_14_16_17_20_27_28_29_31_38_40_47_50_59_60_61
6|17|68_4_5_6_7_13_14_16_17_18_26_28_29
6|46|2_35_3_68_4_5_69_6_38_7_39_8_10_44_13_46_14_16_50_59_27_28_29_61
6|62|68_4_5_6_38_7_13_14_16_55_28_29_62
6|27|16_68_4_5_6_7_27_28_76_29_13_14
6|37|3_35_68_4_37_5_6_7_10_13_14_16_28_29_61
6|30|66_68_4_5_6_7_13_14_16_28_29_61_30_31
6|49|99_68_4_5_6_38_7_13_14_47_16_49_17_28_29
6|50|1_68_4_5_6_38_7_44_13_14_48_16_50_59_28_29
6|69|65_66_3_68_4_69_5_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
6|44|65_35_3_68_4_5_6_38_7_39_42_44_13_14_16_50_28_29
6|32|32_33_99_68_4_5_6_7_10_13_14_16_28_29
6|58|3_99_68_4_5_6_7_13_14_16_51_58_28_29_31
6|8|3_68_4_5_6_7_8_9_13_14_16_28_29_31
6|21|99_68_4_5_6_7_10_13_14_16_21_22_28_29
6|73|65_66_3_68_4_5_69_6_7_71_73_10_76_13_14_16_17_27_28_29_30_38_44_47_50_60_61
6|34|34_35_68_4_5_6_7_13_14_16_50_28_29
6|47|65_3_35_68_4_5_6_38_7_39_45_13_14_47_16_28_29_61
6|7|1_68_4_5_6_38_7_8_10_44_45_13_14_16_51_59_28_61_29
6|25|16_68_4_5_6_7_25_26_28_29_13_14
6|10|99_68_4_5_6_7_10_11_13_14_16_26_28_29_61
6|15|16_68_4_5_6_7_28_29_13_14_15
6|55|1_2_68_4_69_5_6_70_7_10_13_14_16_20_27_28_29_32_99_44_46_48_50_55_59_60_61
6|18|16_18_19_68_4_5_6_7_28_29_13_14
6|22|99_68_4_5_6_7_13_14_16_22_23_28_29
6|76|16_68_4_5_6_7_76_28_29_13_14
12|13|32_1_2_3_4_5_70_12_13_14_16_50_20_60_29_31
12|16|32_1_2_3_4_5_12_76_13_14_16_17_50_20_60_28_29
12|12|32_1_2_3_4_5_12_13_14_50_20_60_29
12|19|32_1_2_3_4_5_12_13_14_50_19_20_60_29
12|29|32_1_2_3_4_5_12_44_13_14_16_50_20_60_29_30
12|38|32_1_2_3_4_68_5_38_70_39_7_74_12_13_14_46_16_50_20_23_60_29_61
12|48|32_1_2_3_99_4_5_39_12_13_14_46_48_50_20_58_60_29
12|74|32_1_66_2_3_4_5_74_12_13_14_16_17_50_20_60_29
12|26|32_1_2_3_4_68_5_69_7_10_12_13_14_16_50_20_26_27_60_29_61
12|40|32_1_2_3_4_5_6_7_40_12_13_14_16_17_50_20_60_29
12|39|32_1_2_3_35_4_68_5_38_39_7_10_12_13_45_14_16_50_19_20_60_29_61
12|71|65_1_2_66_3_68_4_5_69_70_71_7_10_12_76_13_14_16_17_20_27_28_29_31_32_38_50_60_61
12|68|32_1_2_3_68_4_5_69_7_10_12_13_45_14_16_50_20_27_28_60_29_61_31
12|31|32_1_2_3_4_5_7_40_12_44_13_45_14_48_16_50_20_59_60_29_31
12|28|32_1_34_2_3_4_5_12_76_13_14_50_20_28_60_29
12|51|32_1_2_34_3_99_4_5_40_10_12_44_13_45_14_48_49_50_51_20_59_60_29_61
12|20|32_1_2_3_99_4_5_12_44_13_14_50_20_21_22_59_60_29
12|65|65_1_2_3_4_68_5_69_7_10_12_13_14_16_20_29_31_32_35_38_44_50_58_59_60_61
12|70|32_1_2_3_4_5_70_39_10_12_13_14_50_20_60_29_61_62
12|66|65_1_66_2_3_4_68_5_69_70_7_10_12_13_14_16_17_20_27_28_29_31_32_40_47_50_59_60_61
12|17|32_1_2_3_4_68_5_7_12_13_14_16_17_18_50_20_26_60_29
12|46|32_1_2_3_35_4_5_69_38_39_8_10_12_44_13_46_14_50_20_59_27_60_29_61
12|62|32_1_2_3_4_5_12_13_14_16_50_20_55_60_29_62
12|27|32_1_2_3_4_5_12_76_13_14_16_50_20_27_28_60_29
12|37|32_1_2_3_35_4_37_5_10_12_13_14_50_20_28_60_29_61
12|30|32_1_66_2_3_4_68_5_12_13_14_16_50_20_60_29_61_30_31
12|49|32_1_2_3_99_4_5_12_13_14_47_16_49_17_50_20_60_29
12|50|32_1_2_3_4_5_70_12_44_13_14_46_48_50_20_23_59_60_29
12|69|65_1_66_2_3_4_68_69_5_70_6_71_7_8_12_76_13_14_16_17_19_20_28_29_30_31_32_38_44_50_60_61
12|44|32_65_1_2_35_3_4_5_39_42_12_44_13_14_16_50_20_28_60_29
12|32|32_33_1_2_3_99_4_5_39_10_12_13_14_50_20_60_29
12|58|32_1_2_3_99_4_5_12_13_14_16_50_51_20_58_60_29_31
12|21|32_1_2_3_99_4_5_39_10_12_13_14_50_20_21_22_60_29
12|73|65_1_66_2_3_4_68_5_69_6_71_7_73_10_12_76_13_14_16_17_20_27_28_29_30_32_38_44_47_50_60_61
12|34|32_1_34_2_35_3_4_5_39_12_13_14_16_50_20_60_29
12|47|32_65_1_2_3_35_4_5_39_12_45_13_14_47_50_20_28_60_29_61
12|25|32_1_2_3_4_5_12_13_14_16_50_20_25_26_60_29
12|15|32_1_2_3_4_5_12_13_14_15_16_50_20_60_29
12|55|1_2_3_4_68_5_69_70_7_10_12_13_14_16_20_23_27_29_32_99_44_46_48_50_55_59_60_61
12|18|32_1_2_3_4_5_12_13_14_16_18_50_19_20_60_29
12|22|32_1_2_3_99_4_5_70_39_12_13_14_46_50_20_22_23_60_29
12|76|32_1_2_3_4_68_5_7_12_76_13_14_16_50_20_60_29
9|13|16_35_4_70_9_10_13_29_14_31
9|16|16_17_35_4_9_10_28_76_13_29
9|11|33_35_3_4_6_7_9_10_11_12_13_14_16_51_20_21_29_61_31
9|12|32_1_2_3_35_4_5_9_10_12_13_14_50_20_60_29
9|19|19_35_20_4_9_10_13_29
9|29|35_3_4_5_38_9_10_44_13_14_16_29_30_62
9|38|1_2_35_3_4_68_5_38_70_39_7_9_10_74_13_46_48_16_50_29_61
9|48|1_2_35_99_4_38_9_10_74_13_46_48_50_21_22_58_29
9|74|16_17_66_35_4_9_74_10_13_29
9|26|2_35_4_68_69_7_9_10_13_16_50_26_27_61_29
9|40|35_3_4_5_6_7_40_9_10_13_14_16_17_20_29
9|39|35_3_4_68_5_38_39_7_9_10_45_13_16_51_19_20_21_60_29_61
9|71|65_66_3_68_4_5_69_70_71_7_9_10_76_13_14_16_17_27_28_29_31_35_38_39_50_60_61
9|68|3_35_68_4_5_69_7_9_10_13_45_14_16_50_20_27_28_60_29_61_31
9|31|32_1_35_4_7_40_9_10_44_13_45_48_16_50_20_59_60_29_31
9|28|34_35_3_4_5_9_10_28_76_13_29_14
9|51|1_34_35_99_4_39_40_9_10_44_13_45_48_49_50_51_22_59_60_29_61
9|9|35_51_4_21_9_10_13_29
9|20|1_99_35_4_9_10_44_13_50_20_21_22_59_29
9|65|65_1_2_3_4_68_69_5_7_9_10_13_16_20_22_29_31_35_38_44_50_58_59_60_61
9|70|3_35_4_70_38_39_9_10_13_51_29_61_62
9|66|65_66_2_3_4_68_5_69_70_7_9_10_13_14_16_17_20_27_28_29_31_35_40_47_50_59_60_61
9|17|16_17_18_35_4_68_7_9_10_26_13_29
9|46|2_35_3_4_5_69_39_8_9_10_44_13_46_50_51_21_59_27_29_61
